location1Name,location2Name,travelTimeMinutes,travelDistanceKilometers
"Amersfoort, emplacement sp.12","Arnhem, goederenemplacement",53,62
"Amersfoort, emplacement sp.12","Bad Bentheim, empl. / staalfabriek",94,138
"Amersfoort, emplacement sp.12","Bad Bentheim, Hilgenstiege sp.25",94,138
"Amersfoort, emplacement sp.12","Beverwijk, emplacement",56,76
"Amersfoort, emplacement sp.12",Bietigheim-Bissingen,351,561
"Amersfoort, emplacement sp.12","Blerick, emplacement en werkplaats",95,138
"Amersfoort, emplacement sp.12","Born, emplacement",115,173
"Amersfoort, emplacement sp.12","Botlek, emplacement",74,102
"Amersfoort, emplacement sp.12",Bottrop,106,153
"Amersfoort, emplacement sp.12","Coevorden, euroterminal",93,125
"Amersfoort, emplacement sp.12",Deventer goed. empl.,50,65
"Amersfoort, emplacement sp.12","Deventer, goederenemplacement",51,65
"Amersfoort, emplacement sp.12","Dordrecht, dok",64,80
"Amersfoort, emplacement sp.12","Dortmund Obereving, emplacement",131,197
"Amersfoort, emplacement sp.12",Duisburg Ruhrorthafen,106,156
"Amersfoort, emplacement sp.12","Duisburg, Hochfeld Süd Vorbahnhof",110,166
"Amersfoort, emplacement sp.12",ECT,94,129
"Amersfoort, emplacement sp.12","Eindhoven, emplacement",78,110
"Amersfoort, emplacement sp.12","Eindhoven, emplacement Acht",75,106
"Amersfoort, emplacement sp.12",Eltville Ost,258,398
"Amersfoort, emplacement sp.12","Emmerich, station",67,89
"Amersfoort, emplacement sp.12",Euromax,97,137
"Amersfoort, emplacement sp.12","Europoort, emplacement",80,113
"Amersfoort, emplacement sp.12","Gekkengraaf, emplacement",94,136
"Amersfoort, emplacement sp.12",Germersheim,306,480
"Amersfoort, emplacement sp.12",Goes,116,166
"Amersfoort, emplacement sp.12","Hengelo, emplacement",79,110
"Amersfoort, emplacement sp.12","Herzogenrath, station",141,204
"Amersfoort, emplacement sp.12",Holland Cargo Terminal,52,66
"Amersfoort, emplacement sp.12","Houtrakpolder, emplacement",47,63
"Amersfoort, emplacement sp.12","IJsselmonde, emplacement",65,85
"Amersfoort, emplacement sp.12","Kaldenkirchen, station",100,147
"Amersfoort, emplacement sp.12","Kijfhoek, emplacement",62,87
"Amersfoort, emplacement sp.12","Köln Eifeltor, emplacement",154,233
"Amersfoort, emplacement sp.12",Koole Vondelingenweg,74,99
"Amersfoort, emplacement sp.12","Krefeld Linn, emplacement",121,175
"Amersfoort, emplacement sp.12","Lage Zwaluwe, emplacement",69,94
"Amersfoort, emplacement sp.12","Leusden, PON",12,6
"Amersfoort, emplacement sp.12",Ludwigshafen-Oggersheim,286,445
"Amersfoort, emplacement sp.12","Maasvlakte, emplacement",91,128
"Amersfoort, emplacement sp.12",Magdeburg Hbf,297,477
"Amersfoort, emplacement sp.12","Marl-Sinsen, emplacement",118,181
"Amersfoort, emplacement sp.12",Matrans Rotterdam Terminal,83,100
"Amersfoort, emplacement sp.12","Moerdijk, emplacement",74,98
"Amersfoort, emplacement sp.12",Moers,110,164
"Amersfoort, emplacement sp.12","Neuss, guterbahnhof",128,192
"Amersfoort, emplacement sp.12","Nijmegen, emplacement",64,82
"Amersfoort, emplacement sp.12",NWB terminal,49,63
"Amersfoort, emplacement sp.12",OBA,48,61
"Amersfoort, emplacement sp.12","Oberhausen West, emplacement",98,152
"Amersfoort, emplacement sp.12","Oldenzaal, emplacement",84,118
"Amersfoort, emplacement sp.12","Onnen, emplacement noordingang",113,167
"Amersfoort, emplacement sp.12","Onnen, emplacement zuidingang",109,164
"Amersfoort, emplacement sp.12",Opladen,134,205
"Amersfoort, emplacement sp.12","Oss, terminal OOC",70,95
"Amersfoort, emplacement sp.12","Pernis, emplacement",74,98
"Amersfoort, emplacement sp.12",Rheine,109,159
"Amersfoort, emplacement sp.12","Rheinhausen, emplacement",117,176
"Amersfoort, emplacement sp.12","Roosendaal, emplacement",83,114
"Amersfoort, emplacement sp.12",RWG,96,129
"Amersfoort, emplacement sp.12","Sittard, emplacement",122,179
"Amersfoort, emplacement sp.12",Sloehaven empl.,120,178
"Amersfoort, emplacement sp.12",Steinweg Amsterdam,49,63
"Amersfoort, emplacement sp.12",Stroe,26,29
"Amersfoort, emplacement sp.12",Stuttgart,360,575
"Amersfoort, emplacement sp.12","Tilburg, industrie",73,100
"Amersfoort, emplacement sp.12","Uitgeest, emplacement",58,74
"Amersfoort, emplacement sp.12","Valburg, emplacement CUP",53,72
"Amersfoort, emplacement sp.12","Venlo, emplacement",98,139
"Amersfoort, emplacement sp.12","Viersen, guterbahnhof",117,165
"Amersfoort, emplacement sp.12","Vlissingen Sloe, emplacement",120,178
"Amersfoort, emplacement sp.12",Vopak-Sloe,121,178
"Amersfoort, emplacement sp.12","Waalhaven, emplacement",69,95
"Amersfoort, emplacement sp.12","Waalhaven, kantoor RFO",72,96
"Amersfoort, emplacement sp.12","Westhaven, emplacement",46,60
"Amersfoort, emplacement sp.12",Zevenaar grens,57,72
"Amersfoort, emplacement sp.12","Zutphen, emplacement",58,68
"Amersfoort, remise Strukton",Amsterdam Centraal,47,55
"Amersfoort, remise Strukton",Amsterdam Westhaven,44,59
"Amersfoort, remise Strukton",Amsterdam Westhaven West,47,62
"Amersfoort, remise Strukton",APMT,90,126
"Amersfoort, remise Strukton","Arnhem, goederenemplacement",54,60
"Amersfoort, remise Strukton","Bad Bentheim, empl. / staalfabriek",95,143
"Amersfoort, remise Strukton","Bad Bentheim, Hilgenstiege sp.25",94,144
"Amersfoort, remise Strukton","Beverwijk, emplacement",54,76
"Amersfoort, remise Strukton",Bietigheim-Bissingen,352,559
"Amersfoort, remise Strukton","Blerick, emplacement en werkplaats",96,135
"Amersfoort, remise Strukton","Born, emplacement",113,170
"Amersfoort, remise Strukton","Botlek, emplacement",72,99
"Amersfoort, remise Strukton",Bottrop,107,151
"Amersfoort, remise Strukton","Coevorden, euroterminal",93,130
"Amersfoort, remise Strukton",Deventer goed. empl.,51,70
"Amersfoort, remise Strukton","Deventer, goederenemplacement",52,70
"Amersfoort, remise Strukton","Dordrecht, dok",62,78
"Amersfoort, remise Strukton","Dortmund Obereving, emplacement",132,195
"Amersfoort, remise Strukton",Duisburg Ruhrorthafen,107,154
"Amersfoort, remise Strukton","Duisburg, Hochfeld Süd Vorbahnhof",111,164
"Amersfoort, remise Strukton",ECT,92,128
"Amersfoort, remise Strukton","Eindhoven, emplacement",76,107
"Amersfoort, remise Strukton","Eindhoven, emplacement Acht",73,104
"Amersfoort, remise Strukton",Eltville Ost,259,396
"Amersfoort, remise Strukton","Emmerich, station",68,87
"Amersfoort, remise Strukton",Euromax,95,134
"Amersfoort, remise Strukton","Europoort, emplacement",78,111
"Amersfoort, remise Strukton","Gekkengraaf, emplacement",96,134
"Amersfoort, remise Strukton",Germersheim,307,477
"Amersfoort, remise Strukton",Goes,114,164
"Amersfoort, remise Strukton","Hengelo, emplacement",80,115
"Amersfoort, remise Strukton","Herzogenrath, station",139,201
"Amersfoort, remise Strukton",Holland Cargo Terminal,50,66
"Amersfoort, remise Strukton","Houtrakpolder, emplacement",46,63
"Amersfoort, remise Strukton","IJsselmonde, emplacement",63,82
"Amersfoort, remise Strukton","Kaldenkirchen, station",101,145
"Amersfoort, remise Strukton","Kijfhoek, emplacement",60,84
"Amersfoort, remise Strukton","Köln Eifeltor, emplacement",156,231
"Amersfoort, remise Strukton",Koole Vondelingenweg,72,96
"Amersfoort, remise Strukton","Krefeld Linn, emplacement",123,173
"Amersfoort, remise Strukton","Lage Zwaluwe, emplacement",67,92
"Amersfoort, remise Strukton","Leusden, PON",11,8
"Amersfoort, remise Strukton",Ludwigshafen-Oggersheim,287,443
"Amersfoort, remise Strukton","Maasvlakte, emplacement",89,125
"Amersfoort, remise Strukton",Magdeburg Hbf,297,482
"Amersfoort, remise Strukton","Marl-Sinsen, emplacement",119,179
"Amersfoort, remise Strukton",Matrans Rotterdam Terminal,81,97
"Amersfoort, remise Strukton","Moerdijk, emplacement",72,95
"Amersfoort, remise Strukton",Moers,111,162
"Amersfoort, remise Strukton","Neuss, guterbahnhof",129,190
"Amersfoort, remise Strukton","Nijmegen, emplacement",65,80
"Amersfoort, remise Strukton",NWB terminal,48,63
"Amersfoort, remise Strukton",OBA,47,60
"Amersfoort, remise Strukton","Oberhausen West, emplacement",99,150
"Amersfoort, remise Strukton","Oldenzaal, emplacement",85,124
"Amersfoort, remise Strukton","Onnen, emplacement noordingang",114,172
"Amersfoort, remise Strukton","Onnen, emplacement zuidingang",110,169
"Amersfoort, remise Strukton",Opladen,135,203
"Amersfoort, remise Strukton","Oss, terminal OOC",68,92
"Amersfoort, remise Strukton","Pernis, emplacement",72,96
"Amersfoort, remise Strukton",Rheine,109,164
