location1Name,location2Name,travelTimeMinutes,travelDistanceKilometers
"de Kleijn, T.",Amsterdam Westhaven West,61,88
"de Kleijn, T.",APMT,40,51
"de Kleijn, T.","Arnhem, goederenemplacement",77,110
"de Kleijn, T.","Bad Bentheim, empl. / staalfabriek",139,218
"de Kleijn, T.","Bad Bentheim, Hilgenstiege sp.25",139,219
"de Kleijn, T.","Beverwijk, emplacement",66,96
"de Kleijn, T.","Blerick, emplacement en werkplaats",108,158
"de Kleijn, T.","Born, emplacement",110,168
"de Kleijn, T.","Botlek, emplacement",22,26
"de Kleijn, T.",Bottrop,138,214
"de Kleijn, T.","Coevorden, euroterminal",138,206
"de Kleijn, T.",Deventer goed. empl.,98,147
"de Kleijn, T.","Deventer, goederenemplacement",98,147
"de Kleijn, T.","Dordrecht, dok",14,15
"de Kleijn, T.","Dortmund Obereving, emplacement",163,257
"de Kleijn, T.",Duisburg Ruhrorthafen,129,195
"de Kleijn, T.","Duisburg, Hochfeld Süd Vorbahnhof",130,201
"de Kleijn, T.",ECT,43,53
"de Kleijn, T.","Eindhoven, emplacement",75,111
"de Kleijn, T.","Eindhoven, emplacement Acht",70,102
"de Kleijn, T.",Eltville Ost,285,437
"de Kleijn, T.","Emmerich, station",103,150
"de Kleijn, T.",Euromax,46,61
"de Kleijn, T.","Europoort, emplacement",28,37
"de Kleijn, T.","Gekkengraaf, emplacement",103,155
"de Kleijn, T.",Germersheim,318,501
"de Kleijn, T.",Goes,70,102
"de Kleijn, T.","Hengelo, emplacement",125,190
"de Kleijn, T.","Herzogenrath, station",140,206
"de Kleijn, T.",Holland Cargo Terminal,63,89
"de Kleijn, T.","Houtrakpolder, emplacement",59,86
"de Kleijn, T.","IJsselmonde, emplacement",12,6
"de Kleijn, T.","Kaldenkirchen, station",111,167
"de Kleijn, T.","Kijfhoek, emplacement",12,13
"de Kleijn, T.","Köln Eifeltor, emplacement",168,259
"de Kleijn, T.",Koole Vondelingenweg,20,22
"de Kleijn, T.","Krefeld Linn, emplacement",133,197
"de Kleijn, T.","Lage Zwaluwe, emplacement",23,30
"de Kleijn, T.","Leusden, PON",59,86
"de Kleijn, T.",Ludwigshafen-Oggersheim,299,469
"de Kleijn, T.","Maasvlakte, emplacement",40,52
"de Kleijn, T.",Magdeburg Hbf,340,558
"de Kleijn, T.","Marl-Sinsen, emplacement",151,242
"de Kleijn, T.",Matrans Rotterdam Terminal,29,20
"de Kleijn, T.","Moerdijk, emplacement",26,33
"de Kleijn, T.",Moers,124,185
"de Kleijn, T.","Neuss, guterbahnhof",142,214
"de Kleijn, T.","Nijmegen, emplacement",76,103
"de Kleijn, T.",NWB terminal,65,90
"de Kleijn, T.",OBA,65,91
"de Kleijn, T.","Oberhausen West, emplacement",127,196
"de Kleijn, T.","Oldenzaal, emplacement",129,200
"de Kleijn, T.","Onnen, emplacement noordingang",160,249
"de Kleijn, T.","Onnen, emplacement zuidingang",156,246
"de Kleijn, T.",Opladen,163,249
"de Kleijn, T.","Oss, terminal OOC",68,97
"de Kleijn, T.","Pernis, emplacement",17,19
"de Kleijn, T.",Rheine,154,239
"de Kleijn, T.","Rheinhausen, emplacement",130,198
"de Kleijn, T.","Roosendaal, emplacement",37,50
"de Kleijn, T.",RWG,44,52
"de Kleijn, T.","Sittard, emplacement",117,174
"de Kleijn, T.",Sloehaven empl.,75,113
"de Kleijn, T.",Steinweg Amsterdam,61,88
"de Kleijn, T.",Stroe,72,110
"de Kleijn, T.","Tilburg, industrie",53,74
"de Kleijn, T.","Uitgeest, emplacement",71,103
"de Kleijn, T.","Valburg, emplacement CUP",67,99
"de Kleijn, T.","Venlo, emplacement",111,160
"de Kleijn, T.","Viersen, guterbahnhof",130,186
"de Kleijn, T.","Vlissingen Sloe, emplacement",76,114
"de Kleijn, T.",Vopak-Sloe,76,113
"de Kleijn, T.","Waalhaven, emplacement",15,15
"de Kleijn, T.","Waalhaven, kantoor RFO",17,16
"de Kleijn, T.","Westhaven, emplacement",63,89
"de Kleijn, T.",Zevenaar grens,88,134
"de Kleijn, T.","Zutphen, emplacement",101,142
"de Koning, Mark",Acht,54,77
"de Koning, Mark","Almelo, emplacement",68,96
"de Koning, Mark","Amersfoort, emplacement sp.12",44,47
"de Koning, Mark","Amersfoort, remise Strukton",46,44
"de Koning, Mark",Amsterdam Centraal,73,94
"de Koning, Mark",Amsterdam Westhaven,72,98
"de Koning, Mark",Amsterdam Westhaven West,73,101
"de Koning, Mark",APMT,98,144
"de Koning, Mark","Arnhem, goederenemplacement",24,14
"de Koning, Mark","Bad Bentheim, empl. / staalfabriek",82,125
"de Koning, Mark","Bad Bentheim, Hilgenstiege sp.25",82,126
"de Koning, Mark","Beverwijk, emplacement",79,112
"de Koning, Mark","Blerick, emplacement en werkplaats",58,84
"de Koning, Mark","Born, emplacement",88,133
"de Koning, Mark","Botlek, emplacement",79,118
"de Koning, Mark",Bottrop,77,114
"de Koning, Mark","Coevorden, euroterminal",97,136
"de Koning, Mark",Deventer goed. empl.,41,54
"de Koning, Mark","Deventer, goederenemplacement",42,54
"de Koning, Mark","Dordrecht, dok",68,103
"de Koning, Mark","Dortmund Obereving, emplacement",102,157
"de Koning, Mark",Duisburg Ruhrorthafen,77,115
"de Koning, Mark","Duisburg, Hochfeld Süd Vorbahnhof",78,124
"de Koning, Mark",ECT,101,146
"de Koning, Mark","Eindhoven, emplacement",52,75
"de Koning, Mark","Eindhoven, emplacement Acht",54,78
"de Koning, Mark",Eltville Ost,228,357
"de Koning, Mark","Emmerich, station",42,50
"de Koning, Mark",Euromax,103,154
"de Koning, Mark","Europoort, emplacement",85,129
"de Koning, Mark","Gekkengraaf, emplacement",56,82
"de Koning, Mark",Germersheim,268,426
"de Koning, Mark",Goes,122,182
"de Koning, Mark","Hengelo, emplacement",69,97
"de Koning, Mark","Herzogenrath, station",117,170
"de Koning, Mark",Holland Cargo Terminal,76,104
"de Koning, Mark","Houtrakpolder, emplacement",71,101
"de Koning, Mark","IJsselmonde, emplacement",71,102
"de Koning, Mark","Kaldenkirchen, station",61,92
"de Koning, Mark","Kijfhoek, emplacement",66,100
"de Koning, Mark","Köln Eifeltor, emplacement",118,184
"de Koning, Mark",Koole Vondelingenweg,78,115
"de Koning, Mark","Krefeld Linn, emplacement",83,122
"de Koning, Mark","Lage Zwaluwe, emplacement",71,107
"de Koning, Mark","Leusden, PON",38,37
"de Koning, Mark",Ludwigshafen-Oggersheim,249,394
"de Koning, Mark","Maasvlakte, emplacement",97,144
"de Koning, Mark",Magdeburg Hbf,284,465
"de Koning, Mark","Marl-Sinsen, emplacement",91,142
"de Koning, Mark",Matrans Rotterdam Terminal,87,113
"de Koning, Mark","Moerdijk, emplacement",77,111
"de Koning, Mark",Moers,74,110
"de Koning, Mark","Neuss, guterbahnhof",92,139
"de Koning, Mark","Nijmegen, emplacement",27,28
"de Koning, Mark",NWB terminal,72,98
"de Koning, Mark",OBA,73,99
"de Koning, Mark","Oberhausen West, emplacement",70,112
"de Koning, Mark","Oldenzaal, emplacement",73,108
"de Koning, Mark","Onnen, emplacement noordingang",118,176
"de Koning, Mark","Onnen, emplacement zuidingang",114,173
"de Koning, Mark",Opladen,105,165
"de Koning, Mark","Oss, terminal OOC",30,36
"de Koning, Mark","Pernis, emplacement",75,112
"de Koning, Mark",Rheine,98,146
"de Koning, Mark","Rheinhausen, emplacement",81,123
"de Koning, Mark","Roosendaal, emplacement",88,128
"de Koning, Mark",RWG,101,145
"de Koning, Mark","Sittard, emplacement",94,138
"de Koning, Mark",Sloehaven empl.,127,193
"de Koning, Mark",Steinweg Amsterdam,73,101
"de Koning, Mark",Stroe,36,42
"de Koning, Mark","Tilburg, industrie",56,76
"de Koning, Mark","Uitgeest, emplacement",82,111
"de Koning, Mark","Valburg, emplacement CUP",17,18
"de Koning, Mark","Venlo, emplacement",61,86
"de Koning, Mark","Viersen, guterbahnhof",80,112
"de Koning, Mark","Vlissingen Sloe, emplacement",128,194
"de Koning, Mark",Vopak-Sloe,128,193
"de Koning, Mark","Waalhaven, emplacement",72,108
"de Koning, Mark","Waalhaven, kantoor RFO",74,109
"de Koning, Mark","Westhaven, emplacement",71,96
"de Koning, Mark",Zevenaar grens,28,34
"de Koning, Mark","Zutphen, emplacement",42,50
"Dijkema, Stefan",Acht,82,118
"Dijkema, Stefan","Almelo, emplacement",72,100
"Dijkema, Stefan","Amersfoort, emplacement sp.12",23,17
"Dijkema, Stefan","Amersfoort, remise Strukton",24,22
"Dijkema, Stefan",Amsterdam Centraal,52,64
"Dijkema, Stefan",Amsterdam Westhaven,51,68
"Dijkema, Stefan",Amsterdam Westhaven West,52,71
"Dijkema, Stefan",APMT,98,138
"Dijkema, Stefan","Arnhem, goederenemplacement",45,58
"Dijkema, Stefan","Bad Bentheim, empl. / staalfabriek",87,130
"Dijkema, Stefan","Bad Bentheim, Hilgenstiege sp.25",86,130
"Dijkema, Stefan","Beverwijk, emplacement",61,85
"Dijkema, Stefan","Blerick, emplacement en werkplaats",87,129
"Dijkema, Stefan","Born, emplacement",117,178
"Dijkema, Stefan","Botlek, emplacement",80,113
"Dijkema, Stefan",Bottrop,98,144
"Dijkema, Stefan","Coevorden, euroterminal",85,114
"Dijkema, Stefan",Deventer goed. empl.,45,58
"Dijkema, Stefan","Deventer, goederenemplacement",46,59
"Dijkema, Stefan","Dordrecht, dok",71,101
"Dijkema, Stefan","Dortmund Obereving, emplacement",123,188
"Dijkema, Stefan",Duisburg Ruhrorthafen,97,146
"Dijkema, Stefan","Duisburg, Hochfeld Süd Vorbahnhof",98,154
"Dijkema, Stefan",ECT,101,140
"Dijkema, Stefan","Eindhoven, emplacement",82,120
"Dijkema, Stefan","Eindhoven, emplacement Acht",83,116
"Dijkema, Stefan",Eltville Ost,249,388
"Dijkema, Stefan","Emmerich, station",63,81
"Dijkema, Stefan",Euromax,104,148
"Dijkema, Stefan","Europoort, emplacement",86,124
"Dijkema, Stefan","Gekkengraaf, emplacement",86,127
"Dijkema, Stefan",Germersheim,298,486
"Dijkema, Stefan",Goes,124,180
"Dijkema, Stefan","Hengelo, emplacement",73,101
"Dijkema, Stefan","Herzogenrath, station",146,215
"Dijkema, Stefan",Holland Cargo Terminal,55,74
"Dijkema, Stefan","Houtrakpolder, emplacement",51,71
"Dijkema, Stefan","IJsselmonde, emplacement",71,96
"Dijkema, Stefan","Kaldenkirchen, station",91,137
"Dijkema, Stefan","Kijfhoek, emplacement",69,98
"Dijkema, Stefan","Köln Eifeltor, emplacement",142,223
"Dijkema, Stefan",Koole Vondelingenweg,78,109
"Dijkema, Stefan","Krefeld Linn, emplacement",113,167
"Dijkema, Stefan","Lage Zwaluwe, emplacement",74,105
"Dijkema, Stefan","Leusden, PON",20,17
"Dijkema, Stefan",Ludwigshafen-Oggersheim,279,439
"Dijkema, Stefan","Maasvlakte, emplacement",98,139
"Dijkema, Stefan",Magdeburg Hbf,288,469
"Dijkema, Stefan","Marl-Sinsen, emplacement",111,173
"Dijkema, Stefan",Matrans Rotterdam Terminal,89,111
"Dijkema, Stefan","Moerdijk, emplacement",80,109
"Dijkema, Stefan",Moers,104,155
"Dijkema, Stefan","Neuss, guterbahnhof",121,184
"Dijkema, Stefan","Nijmegen, emplacement",56,73
"Dijkema, Stefan",NWB terminal,51,68
"Dijkema, Stefan",OBA,52,69
"Dijkema, Stefan","Oberhausen West, emplacement",90,142
"Dijkema, Stefan","Oldenzaal, emplacement",77,112
"Dijkema, Stefan","Onnen, emplacement noordingang",106,157
"Dijkema, Stefan","Onnen, emplacement zuidingang",103,154
"Dijkema, Stefan",Opladen,125,195
"Dijkema, Stefan","Oss, terminal OOC",60,80
"Dijkema, Stefan","Pernis, emplacement",75,107
"Dijkema, Stefan",Rheine,102,151
"Dijkema, Stefan","Rheinhausen, emplacement",109,159
"Dijkema, Stefan","Roosendaal, emplacement",91,126
"Dijkema, Stefan",RWG,102,139
"Dijkema, Stefan","Sittard, emplacement",124,183
"Dijkema, Stefan",Sloehaven empl.,130,191
"Dijkema, Stefan",Steinweg Amsterdam,52,71
"Dijkema, Stefan",Stroe,19,16
"Dijkema, Stefan","Tilburg, industrie",79,108
"Dijkema, Stefan","Uitgeest, emplacement",62,81
"Dijkema, Stefan","Valburg, emplacement CUP",46,63
"Dijkema, Stefan","Venlo, emplacement",91,131
"Dijkema, Stefan","Viersen, guterbahnhof",110,157
"Dijkema, Stefan","Vlissingen Sloe, emplacement",130,192
"Dijkema, Stefan",Vopak-Sloe,131,191
"Dijkema, Stefan","Waalhaven, emplacement",75,106
"Dijkema, Stefan","Waalhaven, kantoor RFO",77,107
"Dijkema, Stefan","Westhaven, emplacement",51,68
"Dijkema, Stefan",Zevenaar grens,48,64
"Dijkema, Stefan","Zutphen, emplacement",50,59
"Hagens, Rien",Acht,54,77
"Hagens, Rien","Almelo, emplacement",68,96
